Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Dayofweek,month
0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,8.0,9.0,7.0,13.0,29.0,24.0,33.0,20.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,21.0,27.0,27.0,27.0,17.0,33.0,46.0,43.0,23.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,21.0,35.0,39.0,43.0,30.0,22.0,25.0,24.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,5,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.6184638664745106,9.566414609787417,47.0,24.829717651613795,32.65530032814952,32.27976495605566,35.08075331716365,33.946497360536455,30.15565701241261,23.457839920102725,14.459266657155087,5.753596049946591,5.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,2.4964897352689746,9.468563327899084,19.049222428306464,24.829717651613795,28.90625216699095,85.0,86.0,88.0,28.80746275005997,21.121463621311563,53.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,5.0,18.0,23.0,39.0,41.0,41.0,40.0,39.0,40.0,38.0,26.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.2997578828571955,5.0,18.0,29.0,37.0,36.0,35.0,20.0,12.0,10.0,6.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,4.0,11.0,25.0,40.0,49.0,50.0,50.0,49.0,46.0,38.0,26.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,2.6184638664745106,25.0,39.0,44.0,50.0,53.0,52.0,52.0,52.0,48.0,32.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,30.0,40.0,48.0,49.0,50.0,50.0,46.0,38.0,27.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,6,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.6184638664745106,9.404515863676327,19.049222428306464,27.690540733342846,63.0,34.764588386360394,98.0,84.0,56.0,20.0,47.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.4517520130504145,9.26483038894921,18.892435852963725,27.424457937118987,29.500931418459714,34.26969436051697,97.0,30.63035086349866,29.962064936545616,51.0,37.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.2997578828571955,1.629458616858817,18.0,31.0,41.0,42.0,41.0,40.0,25.0,31.0,10.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,1.8216909936970167,18.0,26.0,36.0,38.0,39.0,39.0,38.0,37.0,27.0,20.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,5.0,16.0,11.0,0.0,15.0,11.0,10.0,30.0,12.0,12.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,2.4060876592605887,28.0,44.0,51.0,43.0,52.0,52.0,49.0,50.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,4.0,16.0,15.0,34.0,42.0,28.0,32.0,32.0,22.0,9.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,28.0,23.0,20.0,22.0,29.0,33.0,36.0,41.0,6.180767584534171,6.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,30.0,39.0,55.0,56.0,60.0,68.0,27.739657111882902,22.185436329497257,53.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,12.0,9.0,8.0,9.0,11.0,11.0,11.0,14.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,1.629458616858817,11.0,20.0,22.0,25.0,33.0,36.0,35.0,31.0,32.0,29.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,3.0,6.0,21.0,25.0,16.0,32.0,43.0,48.0,46.0,38.0,27.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,19.0,23.0,43.0,44.0,45.0,32.0,41.0,39.0,27.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,6.0,8.0,6.0,10.0,13.0,16.0,14.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.6184638664745106,9.19776135403388,18.763625952764038,27.212350371791057,32.040741963520354,34.764588386360394,35.08075331716365,33.946497360536455,29.66526769626969,23.388737725689943,14.359872773079537,5.753596049946591,4.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,2.3085770142803423,9.090120964697709,18.621771946079736,27.05988890880756,31.906995407305384,34.26969436051697,97.0,33.61236608717068,29.57623750783574,23.352435107756254,54.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.2997578828571955,5.0,19.0,31.0,39.0,39.0,40.0,40.0,38.0,30.0,39.0,26.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.252574748236668,19.0,33.0,39.0,39.0,39.0,39.0,39.0,38.0,31.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,5.0,18.0,32.0,43.0,49.0,49.0,49.0,48.0,46.0,36.0,16.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,2.4060876592605887,27.0,44.0,49.0,51.0,50.0,54.0,54.0,50.0,46.0,33.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,2,5
